date,customer_id,consultant_id,hours_billed,revenue_usd
2024-01-16,Customer_047,,0,210.00
2024-01-19,Customer_060,,30,275.00
2024-01-19,Customer_060,,50,741.67
2024-01-19,Customer_060,,9,393.33
2024-01-25,Customer_057,Consultant_154,0,4000.00
2024-01-31,Customer_002,Consultant_137,64.16,3208.00
2024-01-31,Customer_002,Consultant_139,6.5,195.00
2024-01-31,Customer_002,Consultant_034,1.5,75.00
2024-01-31,Customer_002,Consultant_137,5,250.00
2024-01-31,Customer_002,Consultant_148,140.5,6250.50
2024-01-31,Customer_002,Consultant_034,33.67,1683.50
2024-01-31,Customer_002,Consultant_062,0.17,5.95
2024-01-31,Customer_002,Consultant_139,29.59,887.70
2024-01-31,Customer_002,Consultant_034,122.75,6137.50
2024-01-31,Customer_002,Consultant_159,5,250.00
2024-01-31,Customer_002,Consultant_147,3.41,170.50
2024-01-31,Customer_002,Consultant_062,0.18,6.30
2024-01-31,Customer_002,Consultant_161,21.5,1182.50
2024-01-31,Customer_002,Consultant_147,8.83,441.50
2024-01-31,Customer_002,Consultant_148,14.5,725.00
2024-01-31,Customer_002,Consultant_157,16.59,829.50
2024-01-31,Customer_002,Consultant_158,12.87,643.50
2024-01-31,Customer_002,Consultant_161,6,330.00
2024-01-31,Customer_002,Consultant_149,3.88,116.40
2024-01-31,Customer_002,Consultant_147,4.17,208.50
2024-01-31,Customer_002,Consultant_034,0.5,25.00
2024-01-31,Customer_002,Consultant_147,6,300.00
2024-01-31,Customer_018,Consultant_125,1.64,24.60
2024-01-31,Customer_018,Consultant_135,14.76,221.40
2024-01-31,Customer_018,Consultant_162,141.28,2119.20
2024-01-31,Customer_045,Consultant_106,3.98,59.70
2024-01-31,Customer_036,Consultant_136,11.36,340.80
2024-01-31,Customer_036,Consultant_163,3.16,47.40
2024-01-31,Customer_027,Consultant_072,67.4,3370.00
2024-01-31,Customer_042,Consultant_105,115.91,3477.30
2024-01-31,Customer_042,Consultant_162,44.86,672.90
2024-01-31,Customer_055,Consultant_112,11.96,418.60
2024-01-31,Customer_055,Consultant_152,16.31,244.65
2024-01-31,Customer_030,Consultant_105,40.63,1218.90
2024-01-31,Customer_033,Consultant_106,15.22,228.30
2024-01-31,Customer_048,Consultant_144,28.34,425.10
2024-01-31,Customer_044,Consultant_164,26,1300.00
2024-01-31,Customer_044,Consultant_165,3,450.00
2024-01-31,Customer_009,Consultant_041,22.95,803.25
2024-01-31,Customer_009,Consultant_034,0.5,25.00
2024-01-31,Customer_009,Consultant_166,10.58,2371.73
2024-01-31,Customer_009,Consultant_137,23.5,1177.50
2024-01-31,Customer_009,,0,1537.50
2024-02-01,Customer_056,Consultant_153,11.28,564.00
2024-02-01,Customer_018,Consultant_074,0,3074.75
2024-02-01,Customer_018,Consultant_074,0,345.45
2024-02-01,Customer_018,Consultant_074,0,918.05
2024-02-29,Customer_060,,3,135.00
2024-02-29,Customer_002,Consultant_137,13.92,696.00
2024-02-29,Customer_002,Consultant_113,14.38,359.50
2024-02-29,Customer_002,Consultant_167,45.3,1359.00
2024-02-29,Customer_002,Consultant_168,4.43,73.10
2024-02-29,Customer_002,Consultant_148,38.5,1925.00
2024-02-29,Customer_002,Consultant_096,15.53,465.92
2024-02-29,Customer_002,Consultant_034,40,2000.00
2024-02-29,Customer_002,Consultant_153,25.41,1270.65
2024-02-29,Customer_002,Consultant_157,47.45,2372.50
2024-02-29,Customer_002,Consultant_153,28.6,1430.00
2024-02-29,Customer_002,Consultant_139,24.51,735.30
2024-02-29,Customer_002,Consultant_034,96.25,4812.50
2024-02-29,Customer_009,Consultant_041,22.9,799.00
2024-02-29,Customer_009,Consultant_113,7.78,194.50
2024-02-29,Customer_009,Consultant_041,7.43,260.05
2024-02-29,Customer_002,Consultant_149,5.87,176.10
2024-02-29,Customer_002,Consultant_161,27,1485.00
2024-02-29,Customer_002,Consultant_147,3.5,175.00
2024-02-29,Customer_002,Consultant_157,1.11,55.50
2024-02-29,Customer_027,Consultant_072,79.39,3969.50
2024-02-29,Customer_018,Consultant_135,32.86,492.90
2024-02-29,Customer_018,Consultant_162,36.15,542.25
2024-02-29,Customer_018,Consultant_162,27.33,409.95
2024-02-29,Customer_025,Consultant_123,2,60.00
2024-02-29,Customer_033,Consultant_106,24.88,373.20
2024-02-29,Customer_030,Consultant_105,44.57,1337.10
2024-02-29,Customer_056,Consultant_169,29.25,1462.50
2024-03-01,Customer_036,Consultant_170,0,250.00
2024-03-01,Customer_060,,30,22.50
2024-03-01,Customer_061,,0,45.00
2024-03-21,Customer_002,Consultant_034,0,150.00
2024-03-26,Customer_061,,0,45.00
2024-03-31,Customer_002,Consultant_149,9.29,278.70
2024-03-31,Customer_002,Consultant_034,0,99.00
2024-03-31,Customer_002,,0,9.00
2024-03-31,Customer_002,,0,126.00
2024-03-31,Customer_002,Consultant_034,0,112.50
2024-03-31,Customer_002,Consultant_034,0,36.00
2024-03-31,Customer_002,Consultant_034,0,85.50
2024-03-31,Customer_002,Consultant_034,0,54.00
