date,customer_id,consultant_id,hours_billed,revenue_usd
2023-01-31,C001,,8.8,825.44
2023-01-31,C001,,2,55.00
2023-01-31,C001,,10.73,295.08
2023-01-31,C001,,7,52.50
2023-01-31,C002,,4.39,411.78
2023-01-31,C002,,0.5,13.75
2023-01-31,C002,,2.25,37.13
2023-01-31,C002,,7.7,722.26
2023-01-31,C002,,39.65,3719.17
2023-01-31,C002,,14,385.00
2023-01-31,C002,,0.4,6.60
2023-01-31,C003,,1.21,33.28
2023-02-01,C002,,0,0.00
2023-02-28,C001,,35.67,267.53
2023-02-28,C001,,8.55,235.13
2023-02-28,C001,,14,385.00
2023-02-28,C001,,9.47,888.29
2023-02-28,C001,,8.35,626.25
2023-02-28,C002,,7.7,115.50
2023-02-28,C002,,40.23,3773.57
2023-02-28,C002,,6.86,643.47
2023-02-28,C002,,27.84,1392.00
2023-02-28,C002,,66.2,2068.75
2023-02-28,C003,,16.37,450.18
2023-02-28,C003,,6.92,103.80
2023-02-28,C001,,42.33,3970.55
2023-02-28,C004,,1,667.70
2023-03-31,C004,,24.95,686.13
2023-03-31,C001,,298.5,12760.88
2023-03-31,C003,,3.52,96.66
2023-03-31,C002,,96.5,4622.35
2023-03-31,C002,,86.2,4232.42
2023-03-31,C002,,0.2,15.00
2023-03-31,C005,,14.5,435.00
2023-03-31,C005,,25,750.00
2023-03-31,C005,,15,750.00
2023-03-31,C004,,30,825.00
2023-03-31,C001,,16.5,281.49
2023-04-01,C002,,0,0.00
2023-04-01,C002,,0,0.00
2023-04-30,C003,,80,2400.00
2023-04-30,C004,,30,900.00
2023-04-30,C006,,20.42,612.60
2023-04-30,C002,,0,0.00
2023-04-30,C002,,0,0.00
2023-04-30,C002,,0,0.00
2023-04-30,C001,,0,0.00
2023-04-30,C001,,0,0.00
2023-04-30,C001,,0,0.00
2023-04-30,C001,,0,0.00
2023-04-30,C001,,0,0.00
2023-04-30,C001,,0,0.00
2023-04-30,C001,,0,0.00
2023-04-30,C001,,0,0.00
2023-04-30,C001,,0,0.00
2023-04-30,C001,,0,0.00
2023-04-30,C001,,0,0.00
2023-04-30,C001,,0,0.00
2023-04-30,C001,,0,0.00
2023-04-30,C007,,6.72,630.00
2023-04-30,C007,,79.65,5973.75
2023-04-30,C007,,2,60.00
2023-04-30,C007,,57.33,859.95
2023-04-30,C007,,54.92,823.80
2023-04-30,C007,,80.02,2400.60
2023-04-30,C007,,42.51,1275.30
2023-04-30,C007,,13.87,1040.25
2023-04-30,C007,,71.75,1076.25
2023-04-30,C007,,18.91,945.50
2023-04-30,C007,,3,90.00
2023-04-30,C007,,68.24,2047.20
2023-04-30,C007,,44.25,1327.50
2023-04-30,C002,,80.92,4046.00
2023-04-30,C002,,3.32,311.25
2023-04-30,C002,,124.74,3742.20
2023-04-30,C001,,1,250.00
2023-05-01,C006,,0,0.00
